Job Title,Rating,Company Name,Type of ownership,Industry,Sector,max_salary,avg_salary,avg_size,city,state,age,python_yn,R_yn,spark_yn,aws_yn,hadoop_yn
"VP, Data Science",3.9,7Park Data,Company - Private,Research & Development,Business Services,250,212.5,125.5,New York,NY,8,1,0,1,0,0
Data Science Analyst,3.7,American College of Radiology,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,250,212.5,350.5,Reston,VA,97,0,0,0,0,0
"Director, Data Science",3.6,Grainger,Company - Public,Wholesale,Business Services,250,212.5,10000.0,Lake Forest,IL,93,1,0,0,0,0
"Data Science Manager, Connect",4.0,Stripe,Company - Private,Internet,Information Technology,250,212.5,3000.5,San Francisco,CA,10,1,0,0,0,0
Product Data Scientist - Ads Data Science,4.0,Twitter,Company - Public,Internet,Information Technology,250,212.5,3000.5,San Francisco,CA,14,1,0,0,0,0
Data Science Software Engineer,4.8,Klaviyo,Company - Private,Computer Hardware & Software,Information Technology,250,212.5,350.5,Boston,MA,8,1,0,0,0,0
Data Science Associate,3.7,Via Transportation,Company - Private,Internet,Information Technology,250,212.5,750.5,New York,NY,8,1,0,0,0,0
Data Science Internship,3.8,Avanceon Limited,Company - Private,Architectural & Engineering Services,Business Services,250,212.5,125.5,Exton,PA,-1,0,0,0,1,0
Data Science Intern,4.5,"Fullpower Technologies, Inc.",-1,-1,-1,250,212.5,-1.0,Santa Cruz,CA,-1,1,0,0,0,0
Data Science Associate,2.1,Shareablee,Company - Private,Enterprise Software & Network Solutions,Information Technology,250,212.5,25.5,New York,NY,8,1,0,1,0,1
Data Science Analyst,3.7,GNY Insurance Companies,Company - Private,Insurance Carriers,Insurance,250,212.5,350.5,New York,NY,106,1,0,0,0,0
Product Data Science,4.7,Loom,Company - Private,Enterprise Software & Network Solutions,Information Technology,250,212.5,125.5,Remote,Remote,4,1,0,0,0,0
Data Science,3.3,Valve Corporation,Company - Private,Video Games,Media,250,212.5,350.5,Bellevue,WA,-1,0,0,0,0,0
Data Science Manager,-1.0,Decode_M,Unknown,-1,-1,250,212.5,25.5,New York,NY,-1,1,0,0,0,0
Data Science & Analytics Intern,4.1,Cuker,Company - Private,Advertising & Marketing,Business Services,250,212.5,25.5,San Diego,CA,14,0,0,0,0,0
"Product Analyst, Data Science",4.4,Google,Company - Public,Internet,Information Technology,250,212.5,10000.0,New York,NY,22,0,0,0,0,0
Spring Data Science Intern,4.5,Øptimus,Company - Private,-1,-1,250,212.5,25.5,Alexandria,VA,-1,1,0,0,0,0
Data Science Analyst,3.7,Fannie Mae,Company - Public,Investment Banking & Asset Management,Finance,250,212.5,7500.5,Washington,DC,82,1,0,0,0,0
Data Science & Data Engineering Intern,5.0,"Carta Healthcare, Inc.",Company - Private,-1,-1,250,212.5,25.5,San Mateo,CA,-1,0,0,0,0,0
IT Partner Digital Health Technology and Data Science,3.6,Biogen,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,250,212.5,7500.5,Cambridge,MA,42,0,0,0,0,0
Healthcare Data Science Intern,3.6,IQVIA,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,250,212.5,10000.0,Durham,NC,3,1,0,0,0,0
