Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"VP, Data Science",$175K-$250K(Employer est.),"We are looking for a VP, Data Science to lead all of our Data science and R&D efforts to discover the information hidden in vast amounts of data, and help us build incredible data products. You will be joining other extremely passionate data science, product folks and engineers that share a common interest in distributed systems, performance, scale, and solving problems with software and data. Our technologies power the insights for financial service and corporate giants.

Compensation package includes highly competitive salary, bonus, equity interest and the valuable business experiences, challenges and excitement of a fast growing technology startup company.

Responsibilities
Lead, nurture and grow a very talented data science team
Lead discovery processes with stakeholders to identify the product requirements and the expected outcome
Manage multiple projects in parallel and oversee their completion from start to finish, setting goals and project milestones
Conceptualize and plan leading-edge analytic and quantitative tools and modeling techniques to help 7Park Data’ clients gain insights and improve decision-making
Review internal and external analytical techniques, identify what data is available and relevant and source the necessary data
Collaborate with the Engineering team to deploy solutions to production
Make strategic recommendations to technology, product, and senior management
Be the voice of data science internally and represent 7Park externally
Requirements
Master’s Degree from top tier university in Computer Science, Statistics, Mathematics, Economics or similar quantitative discipline. PhD preferred
Minimum 8+ Years of relevant professional experience with a proven track record of leveraging analytics and large amounts of data to drive significant business impact
Extensive experience with data exploration, data cleaning, implementation of advanced statistical and machine learning algorithms (e.g., time-series analysis and forecasting, clustering, and advanced classification and regression techniques such as decision trees, neural networks, deep learning, and ensemble algorithms), as well as rigorous model validation and evaluation
Excellent interpersonal and leadership skills with the ability to develop and guide team members to deliver actionable results
Fluency in R or Python
Modeling/mining large data sets using Apache Spark, Databricks",3.9,"7Park Data
3.9","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1
Data Science Analyst,$175K-$250K(Employer est.),"Founded in 1923, the American College of Radiology® is at the forefront of radiology evolution, representing nearly 40,000 radiologists, radiation oncologists, nuclear medicine physicians and medical physicists. We are seeking energetic and innovative individuals to further reinforce our core purpose of serving patients and society by empowering members to advance the practice, science and professions of radiological care.

If you share our core values of: Leadership• Integrity• Quality• Innovation, we want you on our team!

ACR's Data Science Institute (DSI) was created to make patient care safer, faster, cheaper, and more precise. We do this by working with clinicians, industry and government to create the infrastructure and services that facilitate the integration of Artificial Intelligence (AI) into the clinical workflow. As AI in medical imaging is moving from theory to practice, clinicians, industry, and patients are looking to the DSI to be the honest broker to ensure a high level of quality and trust in new technologies applied in a healthcare setting.

ACR's data science analysts work at the nexus between clinicians, technology vendors, patient advocates, and government bodies to create and evaluate standards for applying AI to medical imaging. At the core of this work is the development of the Define-AI use cases. The Define-AI use cases form the public standards and requirements for all interested parties in medical imaging AI to ensure the work they do is applicable, interoperable, and trusted. To effectively advance AI in medical imaging, the data analyst will be involved in every aspect of the DSI, from discussing clinical applications of AI with radiologists to technical components with AI vendors. Our data science analyst also act as owners and stakeholders in the many solutions we develop.

The new hire will:

- Collaborate with scientists, ACR leadership, government regulatory bodies, vendors, and clinicians to develop standards and scenarios for applying AI to healthcare.

- Apply technical knowledge to guide and support the development of AI standards and requirements.

- Work with various entities in healthcare to understand their needs and how our efforts can best benefit patients.

-Work with internal teams to support and develop solutions to disperse information and applications.

The qualified candidate will possess the following:

- Bachelor's in Computer Science, Information Science, or related

- An attitude to tackle and own projects across the institute

- A drive to learn new areas and industries",3.7,"American College of Radiology
3.7","Reston, VA","Reston, VA",201 to 500 employees,1923,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,$100 to $500 million (USD),-1
"Director, Data Science",$175K-$250K(Employer est.),"Reporting to the Sr. Director, Analytics & Data, the Director of Data Science will direct the selection, planning and completion of all data science opportunities that involve high impact, customer-affecting tactics and strategies working in partnership with various functional and business partners.

The decisions made by this position have a profound impact on the organization through the development of analytical work that influences overall company direct marketing, catalog, eCommerce, branch, and sales force strategies and enhances the success of tactical initiatives. The role is critical to company’s continued transformation to an increasingly digital and data-driven organization.

Principal Duties & Responsibilities:
Work with internal senior leaders and business partners to identify key areas for Data Science to impact customer experience and demand generation across domains that include sales force, marketing and website
Create and align on a roadmap to execute against the priorities
Research and recommend data science solutions for improved effectiveness and delivery of demand generation initiatives
Direct the design, development, and delivery of data science initiatives across the organization
Partner with internal senior leaders to ensure these business initiatives are executed with optimal chance of success and adoption
Direct, coach, and mentor a growing talented team of data scientists, while creating an inclusive environment
Provide thought leadership around the data and computing environment necessary for optimal success
Appropriately communicate and represent the work performed by the team to senior leadership within the company
Preferred Education & Experience:
Bachelor’s degree in statistics, economics, mathematics, or related field. Master’s in statistics, economics, data science, or analytics preferred
10+ years equivalent work experience required.
Experience directing a Data Science program in a company, that includes demonstrable impact via development and implementation of Data Science based products and product roadmaps
Experience with linear regression, logistic regression, cluster analysis, time series analysis, and machine learning/ AI techniques
Experience with SAS, R, Python, and SQL
Knowledge of artificial intelligence systems, including image recognition
Ability to assume high exposure responsibilities and interact with senior leadership
Strong business acumen and a strategic mindset
Excellent and proven communication skills
Ability to establish and sustain strong business relationships and effectively prioritize business needs
Grainger is an Equal Opportunity Workplace and an Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.

#dice

Apply Now",3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL",10000+ employees,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1
"Data Science Manager, Connect",$175K-$250K(Employer est.),"Build out rigorous observability and optimizations across the many ways Payments are accepted at Stripe

Stripe is working on making the global financial system programmable. This is one of the largest opportunities for impact in the history of computing, on par with the rise of modern operating systems. At the core of this effort is our Stripe Connect product. Connect is programmable infrastructure that allows Stripe users to offer Stripe payments products to their customers, build out a marketplace on top of Stripe, and pay out sellers or service providers globally. Connect makes it easy for users to onboard and verify their customers or service providers, accept payments, flexibly route funds, and manage their accounts.

We're looking for an experienced data science manager to lead the data science team who partners with Stripe Connect, Stripe's largest product. Because of Stripe Connect's large user base and global availability, your users will be both external–millions of businesses all over the world, including many of the world's largest and fastest growing technology companies–and internal–teams and products such as Stripe Billing, Stripe Issuing, Stripe Terminal, and Stripe Capital. At Stripe, data science managers grow teams and inspire them to rigorous work that shapes our decisions and products.

You will:
Lead a team of data scientists and analysts to:
Define and measure key outcome metrics for our products + systems
Design and analyze experiments to improve the user experience of Stripe's Connect product, as well as the conversion funnel for users onboarding on Stripe
Apply statistical methods, causal inference, and machine learning to inform product decisions and optimize our products and systems
Partner closely with product, engineering and go-to-market teams to drive and identify the data science roadmap for your team
Work with many Stripe leaders across the company to drive the long-term vision of Stripe's Connect product
Manage processes to help the team do its best work and interface effectively with the rest of Stripe
Recruit, coach and develop great data scientists and analysts
You may be a fit if:


You have 5-7+ years of data science experience and 2-3+ years of management experience at a top tier company
You enjoy diving into and deeply understanding the businesses that use Connect — in this role, you'll have significant influence in increasing the success of this ecosystem as a whole
You work very well cross-functionally, and are able to think rigorously and make hard decisions and tradeoffs
You encourage a healthy work environment that's both supportive and challenging.
You have a PhD or MS in a quantitative field (e.g., Statistics, Economics, Sciences, Mathematics, Engineering)
You have expert knowledge of a scientific computing language (such as R or Python) and SQL
You have strong knowledge of statistics and experimental design.
You communicate results clearly and are passionate about driving impact.",4.0,"Stripe
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Braintree, Authorize.Net, PayPal"
Product Data Scientist - Ads Data Science,$175K-$250K(Employer est.),"Who We Are


The team is responsible for placing each and every ad that Twitter serves. While placing those ads we decide how best to balance user experience, advertiser results, and Twitter revenue. Our team optimizes supply/demand, operation points and trade-offs for the ads marketplace, as well as improve product outcomes by applying data science. We routinely deliver significant improvements to our revenue, and work in a close sync with our executive staff (including our COO & CFO) due to our direct impact on Twitter’s business.

What You’ll Do


We’re looking for a key individual contributor to drive our advertising products forward. We decide which ads to serve billions of times a day under a sub-second setting. You will ship new features and optimize existing products. You will perform rigorous analysis, understand our advertising products, experiment, make data-driven decisions, optimize for impact, and measure performance funnels.

Your team will empower you with the autonomy to make good product decisions and discover/understand the software and product stack. You’ll own significant projects end-to-end. The small teams of talented, passionate people in which you’ll work will include engineers and data scientists from across the revenue engineering organization. We work on every high-priority ads project at Twitter.

Who You Are


You’re a data scientist with a track record of delivering results. You find satisfaction in shipping changes that deliver measurable impact in the form of immediate revenue. You apply machine learning and data science techniques when applicable, but are just as happy to implement a simple heuristic when you find it’s as effective at driving impact to your product. You’re looking to join a strong, high-performing team.

Sample Projects
We build new ways for advertisers to buy ads on Twitter, such as paying up front for guaranteed results
We design incrementality studies to measure the lift in brand awareness that our advertising campaigns drive
We dive into individual products (e.g. video ads) to improve results for our most critical business priorities
We evaluate the impact of ads on new Twitter users, determining how to show them ads in order to maximize their long-term usage of the product
We are responsible for measuring the results of all experiments on Twitter ads
Requirements
Experience using data intelligently to optimize product performance
Experience performing analysis on raw event data in modern data warehouse systems
Deep understanding of data platforms in which you’ve previously worked
Good understanding of how to grow and shape data tools and datasets to improve data-driven decision making
Ability to thrive in an unstructured environment, working autonomously on a strong team to find opportunity and deliver business impact
Good understanding of (one or more of the following): Python or R
Bonus Points
Past experience in adtech
PhD or MS in computer science, machine learning, or statistics
Good understanding of (one or more of the following): Java, Scala, or C++
Interesting side projects or Kaggle competition results
We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.0,"Twitter
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest"
Data Science Software Engineer,$175K-$250K(Employer est.),"We love programming and the excitement that comes with building something people use. We are the kind of people that love talking to users and can find the balance between solving a problem quickly and thinking about how your code will work in the future. We love to move fast, keep learning and get stuff done.

Our data science team is still in its early days and you'll have a big impact on our direction and how we operate. You'll be central to researching, developing and shipping products that help our customers learn and grow from their data. For this role, we're looking for people who have developed split brains--software engineers who have become great at writing machine learning code or data scientists who have become great software developers.

Technologies we use (not comprehensive!):
Python

Numpy, Scipy, Pandas

Aurora, Cassandra, Kafka

HTML, JavaScript, React

SageMaker

How you will make a difference:


Analyze large data sets (we're collecting billions of individual actions every month).
Build products that enable our customers to grow faster and communicate more effectively with their customers.
Develop machine learning models and pipelines for research and production.

Who You Are:


Have experience implementing machine learning models, data pipelines and testing frameworks for research and production use.
Have demonstrated a measurable impact based on the models you've created. It's not always easy getting a model correct, we love talking about places we got stuck and work as a team to think through ideas that could unblock us.
Have experience processing cloud-scale data using parallel, elastic, streaming and similar techniques.
Enjoy tuning and validating machine learning models and take a rigorous approach.
Understand how to profile code and optimize performance.
Aspire to correctness (e.g. in your code, in drawing conclusions from data)
Have a bachelor's or advanced degree in computer science, applied math, statistics or other relevant quantitative discipline, or equivalent industry experience.

Get to know Klaviyo

Klaviyo is the world's leading owned marketing platform known for accelerating revenue for online businesses using the channels they own like email, web, and mobile. Enabling companies to leverage these owned marketing channels, Klaviyo makes it easy to store, access, analyze and use transactional and behavioral data to power highly-targeted customer and prospect communications. And unlike other marketing platforms, Klaviyo doesn't force companies to compromise between advanced functionality or ease of use - so companies of all sizes are able to maximize their sales quickly. That's why over 28,000+ innovative companies like Unilever, Custom Ink and Eventbrite sell more with Klaviyo.",4.8,"Klaviyo
4.8","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
Data Science Associate,$175K-$250K(Employer est.),"As a Data Science Associate, you'll analyze large proprietary datasets to generate novel business insights and help drive Via's business decisions.

What You'll Do
Develop new measurement methodologies and data-driven hypotheses; question existing assumptions and models
Adeptly interpret and utilize mass quantities of data to generate innovative hypotheses & insights, and present these insights to the different stakeholders
Use sophisticated statistical methods to solve problems, leveraging up-to-date academic research and tools
Quantitatively test hypotheses about customer and driver behavior using large sets of proprietary data; leverage results to increase conversion and retention at every touch point
Design and implement novel experiments to better understand current operation as well as expansion to new markets
Who You Are
Obsessed with data, very strong quantitative and analytical muscle
Passionate about data visualization, can find the best way to distill large amounts of data into a neat visual representation
Possess a deep understanding of business concepts within strategy, operations, and marketing
Self-directed, with a bias for action and data-based decision making
Extraordinary communicator with demonstrated writing, editing and visualization skills
Have a Bachelor's Degree or a Masters Degree from a top-tier university (math, economics, statistics and/or computer science is preferred) and a record of exceptional academic achievement (minimum GPA of 3.5/4.0)
Have 1+ years of experience with predictive modeling and statistical analysis techniques in a business environment. Exceptional recent graduates will also be considered.
Proficient in Tableau and SQL. Python and/or R - a bonus
We're Via, and we build technology that changes the way the world moves. Our guiding principle is simple: we know that the future of transportation is safe, dynamic, shared public mobility the kind that reduces carbon emissions across congested cities, compliments existing transit infrastructure, and provides everyone with accessible, efficient, and affordable ways of getting around. Through intelligently designed operating systems and sophisticated routing algorithms, we build localized and customizable solutions for each and every one of our global partners (100 and counting, last we checked)

Long story short: we're very proud to be championing the transportation evolution of cities around the world and modernizing mobility. Ready to join the ride?

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.

Via is an equal opportunity employer.",3.7,"Via Transportation
3.7","New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Science Internship,$175K-$250K(Employer est.),"Are you good at uncovering hidden information?Do you like to explore and invest in new technologies?Is learning a necessity for you to thrive and professional development a top priority?We want a Data Science Intern!We are looking for a Data Scientist that can help us discover the information hidden in vast amounts of data to help the We want to learn this together! Here's what we want to do:* Develop, construct, maintain, and test architectures such as databases and large-scale processing systems* Data mining using state-of-the-art methods* Evaluate big data solutions* Create various Machine Learning-based tools or processes and perform statistical analysis* Articulate, present, and document analytic and technical opportunities, constraints, and recommendations* Research and analyze market landscapes and emerging platforms, patterns, practices, and methodologies to drive differentiated service offerings for clients* Develop metrics and analytics solution suites that drive value for customers.* Provide thought leadership around best practices and new/emerging concepts.Things we think will help to make up a good Data Science intern:* Experience in software engineering and/or data related services* Experience with database technologies, SQL and NoSQL would be especially good* Experience working with diverse teams* Experience with Advanced Analytics and Data Science* Strong analytical, communication and interpersonal skills* Strong team building skills* Good communication (written and oral)* Good organizational, multi-tasking, and time-management skills.* Strong problem solving skills* Experience developing, testing and deploying microservices* Working toward an AWS Certification* Background in Mathematics or StatisticsIf you, or your mother and father, believe you are freaking amazing, even if you don't have all of the qualities we think would make for a good data science intern, please apply and include a cover letter telling us what makes you so awesome.Please, no recruiters",3.8,"Avanceon Limited
3.8","Exton, PA","Exton, PA",51 to 200 employees,-1,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),-1
Data Science Intern,$175K-$250K(Employer est.),"Fullpower® designs, develops and operates a complete platform for hybrid Edge/Cloud AI, algorithms, big data, predictive analytics, together with end-to-end engineering services. The Company’s platform is backed by a patent portfolio of 125+ patents. The Company’s key areas of expertise are biomedical, non-invasive PSG-level sleep technology. The Company’s markets are in Medical Solutions, Clinical Trials, SmartHome and Wearable. Fast growing with endless opportunities, come join the Fullpower world-class team.

Fullpower Technologies is seeking passionate, team-oriented, and self-motivated data science interns to join our team.

Overview:

Work to connect biomedical data with medical, health, and fitness outcomes
Collaborate closely with an interdisciplinary team of scientists, engineers, mathematicians
Responsibilities may include:
Develop machine learning and statistical models
Perform analytics across large databases of sleep, activity, and health data
Develop visualizations and tools for understanding and annotating data
Design and run experiments
Preferred Qualifications:
Experience in Python and data-science-related packages such as pandas and scikit-learn
Experience working with databases including familiarity with SQL
Experience with deep learning frameworks such as TensorFlow, PyTorch, or equivalent
Requirements:
Pursuing or recent BS or higher degree in Mathematics, Physics, Computer Science, Engineering, or a related discipline
Experience with and enthusiasm for machine learning, data analytics, visualization, and/or statistics
High self motivation and positive attitude
Fullpower does not sponsor work visas — must already be authorized to work in the United States",4.5,"Fullpower Technologies, Inc.
4.5","Santa Cruz, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Science Associate,$175K-$250K(Employer est.),"Shareablee produces extensive Data Science products in the areas of prediction, NLP, modeling, sentiment, emotion analysis and computer vision.

This role will assist in maintaining and improving existing capabilities and assisting with new product research and delivery.

This is a very fast-paced, dynamic environment with many oportunites for more responsibilities and changing roles.

You'll work with the Data Science, Data Analytics, Engineering and Business teams to evaluate and improve existing products.

You'll be expected to have enough Python to create your own notebooks and do analysis.

Must Have:
Interest in working with social data and some fun or creative ways to use it
Good communications and presentation skills
Some demonstration of creative thinking to solve a problem or add value to a situation
Enthusiastic and has the willingness to learn/discover new things – can be reflected through side projects or hobbies
Good understanding of important statistical/mathematical concepts
Good understanding of basic machine learning algorithms (Logistic Regression, Random Forests, Naïve Bayes etc.) – the key drivers/math behind them and limitations
Nice To Have:
Bonus points for some specialization or expertise in a particular aspect of data science e.g. NLP, Neural Networks, Computer Vision or even visualization
Some knowledge in ETL and big data processing e.g. spark, hadoop
Requirements
Multi-year degree in DS or a combination DS degree.
Experience with all of the following: numpy, scipy, pandas, scikit, a plotting lib
Depending on you interests: If NLP: experience with nltk/spacy, If deep learning / computer vision: tensor flow/keras",2.1,"Shareablee
2.1","New York, NY","New York, NY",1 to 50 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1
Data Science Analyst,$175K-$250K(Employer est.),"Data Science Analyst

Job Details
Level
Experienced
Job Location
New York (Home Office) - New York, NY
Position Type
Full Time
Education Level
4 Year Degree
Salary Range
Undisclosed
Travel Percentage
None
Job Shift
Undisclosed
Job Category
Information Technology
Description
Greater New York Mutual Insurance Company (""GNY"") is an A+ rated, financially stable and growing property casualty insurance company with locations throughout the Northeast. We are currently looking for a dynamic and highly motivated Data Science Analyst for our New York office.

The purpose of this job is to assist in developing and maintaining advanced analytics tools by utilizing machine learning and predictive analytics techniques. It results in pricing enhancement, early fraud detection, loss control efficiency, customer experience improvement, better broker selection, and better claims reserving.

Responsibilities
Score GL and Property renewal policies using underwriting score models - monthly
Analyze loss control data and narrow down inspection questionnaires from hundreds to top 20-30s - daily
Add sold rate and rate adequacy to New Business Score Engine - daily
Develop a machine learning-based model for setting individual claims reserving - daily
Support requests from other departments (e.g., actuarial, underwriting) - weekly
Qualifications
Have obtained a Bachelor's or Master degree from an accredited institution preferably in Data Science, Statistics, Applied Mathematics or Computer Science
2 - 4 years of experience in machine learning, predictive analytics, and data mining
3+ years experience with programming (e.g., R, Python, SQL)",3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster"
Product Data Science,$175K-$250K(Employer est.),"About Loom:
Loom is on a mission to empower everyone at work to communicate more effectively, wherever they are. We are already trusted by over 4M users across 90k+ companies. Our customers are global and use Loom at work at world-class companies including HubSpot, Square, Uber, GrubHub, and LinkedIn.

Founded in 2016, Loom has raised $73 million from top-tier investors including Sequoia Capital, Kleiner Perkins, the Slack Fund, and the founders of Instagram, Figma, and Front.

The Role:
You will be collaborating with stakeholders across the company to drive key decisions and initiatives, such as go to market and product strategy. We’re looking for passionate people to drive actionable insights and help build our analytics infrastructure.
Responsibilities:
Design and develop core business metrics (OKRs), create insightful automated dashboards and data visualization to track progress.
Partner with product managers, engineers, marketers, designers, and business operations to translate business insights into decisions and action.
Design and analyze product experiments; communicate results and learnings to the rest of the team.
Automate analyses and data pipelines while building scalable data infrastructure.
What We're Looking For:
2-4 years of experience in a data science or analytics role.
Proficiency in SQL - able to write structured and efficient queries on large data sets.
Strong communication skills with the ability to synthesize insights into compelling stories.
Good product and business sense.
Experience with ETL tools such as Airflow or DBT.
Experience designing, running, and analyzing A/B tests.
Working knowledge of Unix command line and git is a good to have.
Proficiency in R and/or Python is also a good to have.
Perks at Loom:
* Competitive compensation and equity package
* 99% company paid medical, dental, and vision coverage for employees and dependents (for US employees)
* Flexible Spending Account (FSA) and Dependent Care Flexible Spending Account (DCFSA)
* Healthcare reimbursement (for International employees)
* Life insurance
* Long-term disability insurance
* 401(k) with 5% company matching
* Professional development reimbursement
* Mental health and wellness reimbursement
* Gym reimbursement
* Unlimited PTO
* Paid parental leave
* Remote work opportunities
* Yearly off-site retreats (this year was in Barbados)
SF office perks
* Daily lunch on-site
* Unlimited snacks & drinks
* Remote week every other month

Remote-specific perks
* Home office & technology reimbursement
* Co-working space reimbursement
* New-Hire on-boarding in San Francisco (optional)

Loom = Equal Opportunity Employer:
We are actively seeking to create a diverse work environment because teams are stronger with different perspectives and experiences.

We value a diverse workplace and encourage women, people of color, LGBTQIA individuals, people with disabilities, members of ethnic minorities, foreign-born residents, older members of society, and others from minority groups and diverse backgrounds to apply. We do not discriminate on the basis of race, gender, religion, color, national origin, sexual orientation, age, marital status, veteran status, or disability status. All employees and contractors of Loom are responsible for maintaining a work culture free from discrimination and harassment by treating others with kindness and respect.",4.7,"Loom
4.7",Remote,"San Francisco, CA",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1
Data Science,$175K-$250K(Employer est.),"We are looking for highly skilled people to contribute to our collaborative, multi-disciplinary teams. Your talent and experience may be just what we need.
Qualifications
An entrepreneurial spirit
A high level of expertise in your discipline

What We Offer
An organization where 100% of time is dedicated as groups see fit
The opportunity to collaborate with experts across a range of disciplines
A work environment and flexible schedule in support of families and domestic partnerships
A culture eager to become stronger through diversity of all forms
Exceptional health insurance coverage
Unrivaled employer match for our 401(k) retirement plan
Generous vacation and family leave
On-site amenities in support of health and efficiency
Fertility and adoption assistance
Reimbursement for child care during interviews",3.3,"Valve Corporation
3.3","Bellevue, WA","Bellevue, WA",201 to 500 employees,-1,Company - Private,Video Games,Media,$50 to $100 million (USD),-1
